seq,number
490,13014088
491,13468172
492,14319808
493,14691138
494,14548399
495,15925947
496,14716519
497,22997246
498,15568114
499,17112938
500,16612366
501,18886048
502,17290653
503,24490113
504,24117747
505,19888434
506,31328885
507,34534355
508,22537341
509,22909707
510,23673662
511,18272118
512,24877167
513,25641122
514,26482260
515,27333896
516,27787980
517,54270240
518,31494061
519,30116513
520,30284633
521,31829457
522,37179087
523,32180480
524,33725304
525,33903019
526,36176701
527,52806473
528,38160552
529,40809459
530,41181825
531,45447048
532,41945780
533,64855487
534,43149285
535,44754378
536,88596333
537,50518289
538,53816156
539,55121876
540,57450409
541,72230413
542,60401146
543,61610574
544,61945970
545,102515046
546,71885856
547,65905784
548,113039872
549,74534763
550,76986160
551,141841647
552,126466061
553,116480543
554,81991284
555,83127605
556,114217302
557,85095065
558,119396379
559,129656639
560,196167477
561,104334445
562,105640165
563,171602419
564,112572285
565,133831826
566,122011720
567,122347116
568,123556544
569,138932130
570,137791640
571,140440547
572,142891944
573,182626325
574,151520923
575,158977444
576,242126085
577,165118889
578,167086349
579,222059735
580,263488465
581,204491444
582,272726514
583,218212450
584,209974610
585,262452267
586,216906730
587,227651885
588,234584005
589,255843546
590,244358836
591,309978293
592,261348184
593,262488674
594,279372677
595,278232187
596,307526896
597,294412867
598,421466118
599,377060959
600,324096333
601,385298799
602,421398174
603,371577793
604,426551179
605,414466054
606,745562451
607,426881340
608,513956682
609,451490735
610,444558615
611,472750276
612,462235890
613,478942841
614,500202382
615,505707020
616,734078075
617,632925977
618,655293146
619,557604864
620,572645054
621,748638752
622,1084416712
623,1047392031
624,750977673
625,1318207505
626,786043847
627,798459133
628,816136408
629,859024669
630,871439955
631,878372075
632,1546652602
633,896049350
634,941178731
635,906794505
636,934986166
637,979145223
638,984649861
639,1005909402
640,1205571031
641,1288219123
642,1130249918
643,1212898010
644,1306243616
645,1557294915
646,1499616425
647,1614595541
648,2332696449
649,1712185758
650,1802843855
651,1584502980
652,1657483802
653,2065236084
654,1843674530
655,1749812030
656,1774421425
657,1847973236
658,2436493534
659,2593740764
660,1912703907
661,2541944776
662,1963795084
663,2962710040
664,2136159320
665,2335820949
666,2805860041
667,2343147928
668,2712514435
669,2863538531
670,4942019361
671,3084119405
672,3296688738
673,3927650908
674,5140363268
675,3760677143
676,4729900084
677,3431905227
678,3618095955
679,4368162189
680,5055662363
681,6521391672
682,4048863227
683,7378512895
684,3876498991
685,4306943012
686,4299616033
687,6740037522
688,4848673755
689,4479307248
690,5427267333
691,7345551965
692,5206686459
693,8373924588
694,6912401758
695,7452281594
696,7173187729
697,15547112317
698,8244661180
699,7050001182
700,7192582370
701,10996608850
702,8097403203
703,7494594946
704,11728078131
705,8176115024
706,7925362218
707,12167304855
708,8606559045
709,14667782675
710,8778923281
711,9148289788
712,9327981003
713,9685993707
714,9906574581
715,10633953792
716,12119088217
717,19592568288
718,14085589487
719,13962402940
720,14365770099
721,15117944588
722,14544596128
723,14687177316
724,14242583552
725,15670709970
726,23446705956
727,16101477242
728,18810068816
729,35694045530
730,16531921263
731,16704285499
732,32202631233
733,17385482326
734,17927213069
735,19234555584
736,18476270791
737,19013974710
738,23868977521
739,20540528373
740,22753042009
741,26081491157
742,28047992427
743,30946869051
744,28787179680
745,30215306098
746,28929760868
747,54708020240
748,29913293522
749,30344060794
750,31772187212
751,54815846572
752,32633398505
753,45319100943
754,48734552496
755,33236206762
756,61987493310
757,46524263218
758,35312695395
759,36403483860
760,52968348107
761,37490245501
762,39554503083
763,56425551951
764,50453821895
765,65635994240
766,101541996393
767,58392053221
768,57716940548
769,60257354316
770,58843054390
771,103422170002
772,61685480734
773,108991906812
774,72187901588
775,68548902157
776,79760469980
777,72790709845
778,69639690622
779,70726452263
780,120093512517
781,89371831967
782,71716179255
783,96660838176
784,113225702423
785,116559994938
786,90008324978
787,122641723483
788,106879373846
789,108170762443
790,116108993769
791,137477410528
792,117235107611
793,117974294864
794,121942835050
795,162799034823
796,130234382891
797,131325171356
798,138188592779
799,139275354420
800,140265081412
801,177605826109
802,140366142885
803,141355869877
804,229636913379
805,207982619842
806,161088011222
807,161724504233
808,186669163154
809,196887698824
810,255423700390
811,198179087421
812,426524612203
813,215050136289
814,233344101380
815,234083288633
816,324857755933
817,257601250496
818,261559554247
819,260131427829
820,301989585645
821,268422975670
822,337253841709
823,422647565469
824,279540435832
825,280631224297
826,494214716462
827,281722012762
828,339534957298
829,537714044719
830,706065048035
831,420013264534
832,358612203057
833,455780337917
834,448394237669
835,413229223710
836,431523188801
837,818345269016
838,449133424922
839,621256970060
840,502506264303
841,517732678325
842,562121013474
843,521690982076
844,528554403499
845,547963411502
846,627035178727
847,560171660129
848,694951236472
849,638152638889
850,562353237059
851,640334215819
852,698147160355
853,979869173117
854,771841426767
855,778625467591
856,880656613723
857,814392540974
858,861623461379
859,844752412511
860,949255867126
861,1071857404620
862,997096836424
863,1766808641092
864,1020238942628
865,1065696089827
866,1392715824013
867,1088726063628
868,1050245385575
869,1076517815001
870,1108135071631
871,1122524897188
872,1198324299018
873,1556574697851
874,2248569684593
875,1758494640708
876,1578803774078
877,1946352703550
878,2012716839992
879,1988791685354
880,1593018008565
881,1659144953485
882,1676016002353
883,2142763839816
884,2211250960816
885,1969494809754
886,2667529837706
887,2105231908055
888,2070484328203
889,2085935032455
890,2115941475402
891,2126763200576
892,2196861135259
893,2158380457206
894,2199042712189
895,3605734848557
896,2320849196206
897,3284259331473
898,4200042646170
899,4304274620244
900,3664807687707
901,3171821782643
902,3252162962050
903,3663502336768
904,3628639763239
905,3775086428887
906,5691669881012
907,3746500330556
908,4039979137957
909,4055429842209
910,4323624335835
911,4175716236258
912,4156419360658
913,6155920613359
914,4201876507857
915,5449024097309
916,4285143657782
917,4395903847448
918,4357423169395
919,5492670978849
920,5573012158256
921,5605108527679
922,6423984744693
923,6800461545882
924,6835324119411
925,6836629470350
926,6880802725289
927,6915665298818
928,7703481474725
929,7375140093795
930,8031643988338
931,7786479468513
932,10479414586902
933,8095408980166
934,8412853011604
935,8358295868515
936,8487020165639
937,8681047505230
938,8642566827177
939,9734167755091
940,8753327016843
941,11996996902949
942,14060032323895
943,13796468024107
944,11065683137105
945,11178120685935
946,16056187599025
947,13260614215043
948,13716126844700
949,13671953589761
950,18376734582268
951,16444496999942
952,15011074278984
953,15078621568520
954,24894247530635
955,16144775337028
956,15881888448679
957,16737975807343
958,20484017068588
959,23450294599791
960,17129586992816
961,17168067670869
962,17323614332407
963,27130061599111
964,18487494771934
965,31120082356514
966,22243803823040
967,24326297352148
968,28683027868745
969,28307707678751
970,24438734900978
971,26932567804804
972,28271688494027
973,47889029500769
974,39449809179962
975,30089695847504
976,46534192847446
977,65018616493585
978,44453675931518
979,33312843007897
980,34632270108962
981,41494365023017
982,42727820891628
983,34297654663685
984,34453201325223
985,41455884344964
986,34491682003276
987,49373865422151
988,40731298594974
989,67945113116859
990,68892410832496
991,56541458486725
992,58772723716249
993,51371302705782
994,52710423395005
995,54528430748482
996,61564837913766
997,87342693503967
998,92101686313779
999,63402538855401
