id,top,bottom,left,right,block
2341,#.....###.,...###..##,#.##.#.#..,...##.#.##,"{{#,.,.,.,.,.,#,#,#,.},{.,#,#,.,#,#,.,.,.,.},{#,#,.,.,.,.,#,#,.,.},{#,.,.,.,.,.,#,.,.,#},{.,#,#,.,.,.,.,.,.,#},{#,#,#,.,.,.,.,.,.,.},{.,.,.,#,.,.,.,.,.,#},{#,.,#,#,.,.,.,#,.,.},{.,.,.,.,.,#,#,.,.,#},{.,.,.,#,#,#,.,.,#,#}}"
2657,####.##.##,#.#.####.#,###.....##,###.#..###,"{{#,#,#,#,.,#,#,.,#,#},{#,.,.,.,.,.,#,.,.,#},{#,.,.,.,#,.,.,.,.,#},{.,.,.,#,.,#,.,.,.,.},{.,.,.,.,#,#,.,.,.,#},{.,.,#,.,#,.,.,.,.,.},{.,.,#,.,#,.,#,.,.,.},{.,.,.,#,#,.,#,#,#,#},{#,.,#,#,.,#,.,.,#,#},{#,.,#,.,#,#,#,#,.,#}}"
2503,.##.#...##,#..###..#.,....######,##.####...,"{{.,#,#,.,#,.,.,.,#,#},{.,#,.,#,.,.,#,.,.,#},{.,.,.,.,.,.,.,.,.,.},{.,.,#,.,.,.,.,.,.,#},{#,#,.,.,#,.,.,.,.,#},{#,.,.,.,.,.,#,.,#,#},{#,.,.,.,.,#,.,.,.,#},{#,.,#,#,.,.,#,#,.,.},{#,#,.,.,.,.,.,#,#,.},{#,.,.,#,#,#,.,.,#,.}}"
1103,.##....###,..####.###,...##..#..,#.###.####,"{{.,#,#,.,.,.,.,#,#,#},{.,.,.,.,.,.,.,.,.,.},{.,.,.,.,.,.,.,.,#,#},{#,.,.,#,.,.,.,.,.,#},{#,.,.,.,#,.,.,.,.,#},{.,.,.,.,.,.,.,.,#,.},{.,.,.,.,.,#,.,.,.,#},{#,.,.,.,.,.,.,.,#,#},{.,.,#,.,.,.,.,.,#,#},{.,.,#,#,#,#,.,#,#,#}}"
3541,###.####..,#...###..#,##.###...#,.##.#....#,"{{#,#,#,.,#,#,#,#,.,.},{#,.,.,.,.,#,.,.,.,#},{.,.,#,.,.,#,.,.,.,#},{#,.,.,#,.,.,#,#,#,.},{#,#,.,.,.,.,.,#,.,#},{#,.,.,#,.,#,#,.,.,.},{.,.,.,.,.,.,#,.,.,.},{.,.,#,.,.,.,.,.,#,.},{.,.,.,.,#,.,#,.,.,.},{#,.,.,.,#,#,#,.,.,#}}"
1741,#......##.,#.#..##.#.,#.#...#..#,..#...#...,"{{#,.,.,.,.,.,.,#,#,.},{.,#,#,.,.,#,.,.,.,.},{#,.,.,.,.,.,.,.,.,#},{.,.,.,.,#,#,#,.,.,.},{.,.,.,.,#,.,.,#,.,.},{.,.,.,.,.,#,.,#,.,.},{#,.,.,.,#,.,#,.,.,#},{.,#,.,.,.,#,.,#,.,.},{.,.,.,#,.,.,#,#,.,.},{#,.,#,.,.,#,#,.,#,.}}"
3529,###..#...#,##....#...,####....##,###.###.#.,"{{#,#,#,.,.,#,.,.,.,#},{#,.,.,.,#,.,.,.,#,#},{#,.,.,.,.,#,.,.,.,#},{#,.,.,#,.,.,.,.,#,.},{.,#,.,.,#,.,.,.,.,#},{.,.,#,.,.,#,.,.,.,#},{.,.,.,.,#,.,.,.,.,#},{.,.,.,.,.,.,#,.,.,.},{#,.,.,.,#,.,#,.,.,#},{#,#,.,.,.,.,#,.,.,.}}"
1907,...#....##,#..#.....#,...#.#...#,#.##.#...#,"{{.,.,.,#,.,.,.,.,#,#},{.,.,.,.,.,.,.,.,.,.},{.,.,#,.,#,.,.,.,.,#},{#,.,.,.,#,.,#,.,.,#},{.,.,.,#,#,#,.,.,.,.},{#,.,.,#,#,.,.,.,.,#},{.,#,.,#,.,.,#,#,#,.},{.,.,#,.,.,#,.,.,#,.},{.,.,.,.,.,#,.,.,.,.},{#,.,.,#,.,.,.,.,.,#}}"
1087,.#..##.##.,#..##.#.##,..#..##..#,..#..#.#.#,"{{.,#,.,.,#,#,.,#,#,.},{.,.,.,.,#,.,.,.,.,.},{#,.,.,.,#,#,.,.,.,#},{.,.,.,.,.,#,.,.,.,.},{.,.,.,.,.,#,.,#,.,.},{#,.,.,.,.,.,.,#,.,#},{#,.,.,.,.,#,#,.,.,.},{.,.,#,.,.,.,.,.,.,#},{.,.,.,.,.,#,.,#,.,.},{#,.,.,#,#,.,#,.,#,#}}"
1367,#..#.##...,.###.##...,##..###...,.#.##.##..,"{{#,.,.,#,.,#,#,.,.,.},{#,.,#,.,.,.,.,.,.,#},{.,.,.,.,.,.,.,.,.,.},{.,.,.,.,.,.,#,#,.,#},{#,.,#,#,.,#,#,.,.,#},{#,#,#,.,.,#,#,.,.,.},{#,#,.,.,.,.,#,.,.,#},{.,.,#,#,.,.,#,#,.,#},{.,#,.,.,.,.,.,.,.,.},{.,#,#,#,.,#,#,.,.,.}}"
1097,.####...#.,...###.###,.#.#..#...,.####..#.#,"{{.,#,#,#,#,.,.,.,#,.},{#,#,.,.,.,.,#,#,#,#},{.,.,.,#,.,.,.,.,.,#},{#,.,.,.,.,.,.,#,.,#},{.,.,.,.,.,.,.,#,.,#},{.,.,.,.,#,.,.,.,.,.},{#,.,#,.,.,.,.,.,#,.},{.,#,.,.,#,.,.,#,.,#},{.,.,.,.,#,.,#,.,.,.},{.,.,.,#,#,#,.,#,#,#}}"
3853,.####...##,##.#..##.#,.#...#.###,##.##.#..#,"{{.,#,#,#,#,.,.,.,#,#},{#,.,.,#,.,.,.,.,.,#},{.,#,.,.,.,.,.,.,#,.},{.,.,.,.,.,.,.,.,.,#},{.,.,.,.,.,.,.,.,#,#},{#,#,#,.,.,#,.,.,.,.},{.,.,.,.,#,.,.,.,#,#},{#,.,.,.,.,#,.,#,.,.},{#,.,.,.,.,.,.,.,#,.},{#,#,.,#,.,.,#,#,.,#}}"
1861,##..##.###,######..##,##..##.#.#,#....#.###,"{{#,#,.,.,#,#,.,#,#,#},{#,.,.,#,.,.,.,.,.,.},{.,.,.,.,.,.,.,.,.,.},{.,#,.,.,#,#,.,#,.,.},{#,#,.,#,.,#,#,.,.,.},{#,.,.,#,.,.,.,.,.,#},{.,#,.,#,.,.,#,.,.,.},{#,.,.,.,.,.,.,.,.,#},{.,.,.,#,.,.,.,.,.,#},{#,#,#,#,#,#,.,.,#,#}}"
3517,###..#..##,.#####.#.#,##.###....,#.##..#.##,"{{#,#,#,.,.,#,.,.,#,#},{#,.,.,.,.,.,.,.,#,.},{.,.,.,.,.,.,.,.,.,#},{#,.,#,.,.,#,.,.,.,#},{#,#,.,.,.,.,#,.,.,.},{#,.,.,.,.,.,.,.,.,.},{.,#,.,#,.,.,.,#,.,#},{.,.,.,.,.,.,.,#,.,.},{.,.,.,.,#,#,.,.,.,#},{.,#,#,#,#,#,.,#,.,#}}"
1951,....###.##,.#.####..#,.#######..,#.....##.#,"{{.,.,.,.,#,#,#,.,#,#},{#,.,.,.,.,#,.,.,.,.},{#,#,.,.,.,.,.,#,#,.},{#,.,.,.,#,.,.,#,.,.},{#,.,.,.,.,#,#,.,.,.},{#,#,.,#,.,.,.,.,.,.},{#,.,.,.,#,#,.,#,.,#},{#,#,#,.,.,.,.,.,#,#},{.,#,.,.,#,.,#,.,.,.},{.,#,.,#,#,#,#,.,.,#}}"
3061,#..#.#####,#####.##..,###.##.#.#,#..#.#....,"{{#,.,.,#,.,#,#,#,#,#},{#,.,.,.,.,.,.,.,#,.},{#,.,#,.,#,#,.,.,.,.},{.,#,.,.,#,.,#,.,.,#},{#,.,.,.,.,#,#,#,.,.},{#,.,.,.,.,.,.,#,.,#},{.,#,.,#,.,.,.,.,#,.},{#,.,.,.,.,.,.,.,.,.},{.,.,.,.,.,#,.,.,.,.},{#,#,#,#,#,.,#,#,.,.}}"
1319,#..#.....#,.#...###..,##.#.###..,#.#######.,"{{#,.,.,#,.,.,.,.,.,#},{#,.,#,#,.,.,.,.,.,.},{.,.,#,#,#,.,.,.,.,#},{#,.,.,.,#,.,#,.,#,#},{.,#,.,#,.,.,.,.,.,#},{#,.,.,.,.,#,.,.,.,#},{#,.,.,.,#,.,#,.,.,#},{#,.,.,#,.,.,.,.,.,#},{.,.,.,.,#,.,.,.,.,#},{.,#,.,.,.,#,#,#,.,.}}"
2927,.#..##...#,###....#..,.#.##..###,####....#.,"{{.,#,.,.,#,#,.,.,.,#},{#,.,.,.,.,#,.,.,.,#},{.,.,#,.,#,.,.,#,.,#},{#,.,.,#,.,.,.,.,#,#},{#,.,.,.,.,.,.,.,#,.},{.,.,.,.,.,.,#,#,#,.},{.,.,#,.,.,.,.,.,.,.},{#,.,#,.,.,.,.,.,.,.},{#,.,.,#,#,.,.,.,#,#},{#,#,#,.,.,.,.,#,.,.}}"
2711,##.#....##,###.#..#.#,###.#.#..#,#.###.##.#,"{{#,#,.,#,.,.,.,.,#,#},{#,.,.,.,.,.,.,.,.,.},{#,.,.,#,.,.,.,.,#,#},{.,.,.,.,#,.,.,#,.,#},{#,.,.,.,.,.,.,#,.,#},{.,.,.,.,.,#,#,.,#,.},{#,.,#,#,#,.,.,.,.,#},{.,#,.,.,.,.,#,.,#,#},{.,#,.,.,#,.,.,.,#,.},{#,#,#,.,#,.,.,#,.,#}}"
3677,###....#.#,.#..#.#..#,##.#..##..,#..##.#.##,"{{#,#,#,.,.,.,.,#,.,#},{#,.,.,.,.,.,.,.,.,.},{.,.,.,.,.,#,#,.,.,.},{#,.,.,.,.,.,.,.,.,#},{.,#,.,#,.,#,#,.,.,#},{.,.,#,#,.,.,.,.,.,.},{#,#,.,.,.,.,.,.,#,#},{#,.,#,#,.,.,.,.,.,.},{.,.,.,.,.,#,.,#,.,#},{.,#,.,.,#,.,#,.,.,#}}"
3361,#.#######.,.....####.,###...##..,...##.#.#.,"{{#,.,#,#,#,#,#,#,#,.},{#,#,.,#,#,.,#,.,#,.},{#,#,#,.,#,.,.,.,.,.},{.,.,.,.,.,#,.,#,.,#},{.,.,.,.,.,.,.,.,.,#},{.,.,.,#,.,.,.,.,.,.},{#,.,#,#,.,.,.,.,.,#},{#,.,.,#,.,.,.,.,#,.},{.,.,.,.,.,#,.,.,.,#},{.,.,.,.,.,#,#,#,#,.}}"
3407,##.##.#.##,.##.#.####,###...#...,##..##...#,"{{#,#,.,#,#,.,#,.,#,#},{#,.,.,#,#,#,.,.,.,#},{#,.,.,.,.,#,.,.,.,.},{.,#,.,#,#,#,#,.,.,.},{.,.,#,.,.,#,.,.,.,#},{.,#,#,.,.,#,#,.,#,#},{#,#,.,#,.,.,.,.,.,.},{.,.,.,#,.,.,.,.,.,.},{.,.,.,.,.,.,.,.,.,.},{.,#,#,.,#,.,#,#,#,#}}"
3673,###..#.###,...#####.#,#.#...###.,##.#..####,"{{#,#,#,.,.,#,.,#,#,#},{.,.,#,.,.,.,.,.,.,#},{#,.,.,.,.,.,#,.,.,.},{.,#,.,.,.,.,.,.,.,#},{.,.,.,.,#,.,.,.,#,.},{.,.,#,.,.,.,#,.,#,.},{#,#,#,.,.,.,#,.,.,#},{#,.,#,#,.,.,.,.,.,#},{#,#,.,.,#,#,#,.,.,#},{.,.,.,#,#,#,#,#,.,#}}"
2351,...#####..,..########,.#.##..#..,.##...#.##,"{{.,.,.,#,#,#,#,#,.,.},{#,.,.,#,.,.,.,.,#,#},{.,#,.,.,.,#,.,.,.,#},{#,.,#,.,.,.,.,.,.,.},{#,.,.,.,.,.,#,#,.,.},{.,.,.,.,.,.,.,#,.,.},{.,.,.,#,.,.,.,.,#,#},{#,.,.,.,.,.,.,.,.,.},{.,.,#,.,#,.,.,.,.,#},{.,.,#,#,#,#,#,#,#,#}}"
1171,#.#.....#.,#####....#,#...#..#.#,.#.#.#.#.#,"{{#,.,#,.,.,.,.,.,#,.},{.,.,.,#,#,#,.,.,.,#},{.,.,#,#,#,.,#,.,#,.},{.,.,.,#,#,.,.,#,.,#},{#,.,.,.,#,.,.,#,#,.},{.,.,.,.,.,.,.,.,.,#},{.,.,#,.,.,.,.,.,.,.},{#,.,#,.,.,.,.,.,#,#},{.,.,.,.,#,.,.,.,.,.},{#,#,#,#,#,.,.,.,.,#}}"
1889,.###..#...,.###...##.,.##...#.#.,.####..#..,"{{.,#,#,#,.,.,#,.,.,.},{#,.,.,#,.,.,.,.,#,#},{#,#,#,.,.,#,.,.,#,#},{.,.,.,#,.,.,#,.,.,#},{.,#,.,.,.,.,#,#,.,#},{.,.,.,.,.,.,.,.,.,.},{#,.,.,.,.,.,.,.,.,.},{.,.,.,#,.,.,.,.,.,#},{#,#,.,.,.,.,.,.,.,.},{.,#,#,#,.,.,.,#,#,.}}"
2621,##...####.,...##.###.,#.#..#.#..,.#####.#..,"{{#,#,.,.,.,#,#,#,#,.},{.,.,.,.,.,.,.,.,.,#},{#,#,.,.,.,.,.,.,#,#},{.,#,#,.,.,.,.,.,#,#},{.,.,.,#,#,.,.,.,#,#},{#,.,#,.,.,.,.,.,#,#},{.,#,.,#,.,#,.,.,#,.},{#,.,.,#,.,.,#,#,.,#},{.,.,.,.,#,.,.,#,#,.},{.,.,.,#,#,.,#,#,#,.}}"
1129,##...##.##,.#......##,###.#####.,####.#.###,"{{#,#,.,.,.,#,#,.,#,#},{#,.,#,.,.,.,#,#,.,#},{#,.,#,.,#,.,.,#,#,#},{.,#,.,.,.,.,.,#,.,#},{#,.,.,.,#,.,.,.,.,.},{#,.,.,.,.,.,.,.,.,#},{#,#,.,.,.,#,.,.,.,.},{#,.,#,.,.,.,.,#,#,#},{#,.,#,#,.,.,#,.,.,#},{.,#,.,.,.,.,.,.,#,#}}"
3863,#.###.###.,..###....#,###.##.#..,...#.#.###,"{{#,.,#,#,#,.,#,#,#,.},{#,.,.,.,.,.,.,.,.,.},{#,#,.,.,.,.,.,.,.,.},{.,.,.,.,#,.,.,.,.,#},{#,#,#,.,.,.,#,.,.,.},{#,.,.,.,.,.,.,#,#,#},{.,#,.,.,.,.,.,.,.,.},{#,.,.,#,.,.,.,.,.,#},{.,.,.,.,.,.,.,#,.,#},{.,.,#,#,#,.,.,.,.,#}}"
2039,.##..#####,#.#..#.###,.#..#.##.#,##....####,"{{.,#,#,.,.,#,#,#,#,#},{#,.,#,.,.,.,.,#,#,#},{.,.,.,.,.,#,.,.,.,.},{.,#,.,.,.,.,#,#,.,.},{#,.,.,.,.,.,.,#,.,.},{.,.,.,.,#,.,#,.,.,.},{#,#,.,.,.,#,#,.,.,#},{#,.,.,.,.,.,#,.,.,#},{.,.,.,.,.,.,#,.,.,#},{#,.,#,.,.,#,.,#,#,#}}"
1847,#..#..##.#,....#.####,#.#.#.##..,#.#.#.##.#,"{{#,.,.,#,.,.,#,#,.,#},{.,.,.,.,.,.,.,.,.,.},{#,#,#,#,.,.,.,.,.,#},{.,.,.,.,.,.,.,.,.,.},{#,#,.,.,.,#,.,#,.,#},{.,.,.,.,.,.,.,.,.,.},{#,#,.,.,.,.,#,.,.,#},{#,.,.,.,.,#,.,.,.,#},{.,.,#,#,.,.,.,.,.,.},{.,.,.,.,#,.,#,#,#,#}}"
1427,#....#...#,.#...#..##,####..#.#.,##.#.#####,"{{#,.,.,.,.,#,.,.,.,#},{#,.,.,.,.,#,#,.,.,#},{#,.,.,#,#,#,#,#,.,.},{#,.,#,.,#,.,.,.,.,#},{.,.,.,.,.,.,.,.,.,.},{.,.,.,.,#,.,.,.,.,#},{#,#,.,.,.,.,.,.,.,#},{.,.,.,.,.,#,.,.,.,#},{#,.,#,.,.,#,#,.,.,#},{.,#,.,.,.,#,.,.,#,#}}"
2207,#..#####.#,##......#.,#..##..###,#...#.###.,"{{#,.,.,#,#,#,#,#,.,#},{.,#,#,.,.,.,#,.,#,.},{.,.,.,#,.,.,#,.,.,.},{#,.,.,.,#,#,#,.,.,.},{#,#,.,.,.,.,.,.,.,#},{.,.,.,.,.,#,.,.,.,.},{.,#,.,.,.,#,.,.,.,#},{#,#,.,.,.,.,.,.,.,#},{#,#,.,#,.,.,.,#,.,#},{#,#,.,.,.,.,.,.,#,.}}"
2393,###..##.#.,.#..#.####,####...##.,.......###,"{{#,#,#,.,.,#,#,.,#,.},{#,.,.,#,.,.,#,.,#,.},{#,.,.,.,.,.,#,.,#,.},{#,.,.,#,.,.,.,.,.,.},{.,.,.,.,.,.,.,.,#,.},{.,#,.,#,.,.,.,.,#,.},{.,.,.,.,#,#,.,#,.,.},{#,#,#,.,.,#,.,.,.,#},{#,.,.,.,.,.,.,.,.,#},{.,#,.,.,#,.,#,#,#,#}}"
1493,#.###.##.#,#.###..#.#,#.......##,###.######,"{{#,.,#,#,#,.,#,#,.,#},{.,#,.,#,#,.,#,#,.,#},{.,.,.,.,.,.,.,.,.,#},{.,.,#,#,#,.,.,.,.,.},{.,.,#,.,.,.,.,#,#,#},{.,#,.,.,.,.,.,#,.,#},{.,#,#,.,.,.,.,.,.,#},{.,.,#,.,.,.,.,.,.,#},{#,#,.,.,.,.,.,#,.,#},{#,.,#,#,#,.,.,#,.,#}}"
3709,###.####.#,#..#....##,#.#......#,#....##.##,"{{#,#,#,.,#,#,#,#,.,#},{.,.,#,.,.,#,.,.,#,.},{#,.,.,#,.,.,.,#,.,.},{.,#,#,.,.,.,.,.,#,.},{.,.,#,.,.,.,#,.,.,.},{.,.,.,.,.,.,.,.,.,#},{.,.,.,.,.,.,.,.,#,#},{.,.,.,.,.,.,.,.,#,.},{.,.,.,.,.,.,.,.,.,#},{#,.,.,#,.,.,.,.,#,#}}"
3889,#.#..##.#.,..###.##..,#..##.#...,.#........,"{{#,.,#,.,.,#,#,.,#,.},{.,#,.,.,.,.,#,.,.,#},{.,.,.,#,#,.,.,#,#,.},{#,.,.,.,.,.,#,.,.,.},{#,.,.,.,#,#,.,.,.,.},{.,.,#,#,.,.,.,.,.,.},{#,.,#,#,#,.,#,.,.,.},{.,.,.,.,.,.,#,.,.,.},{.,#,.,#,#,.,.,.,.,.},{.,.,#,#,#,.,#,#,.,.}}"
2029,##..#.....,.#.#.#.#..,#...###...,.#####....,"{{#,#,.,.,#,.,.,.,.,.},{.,.,.,#,#,#,.,#,.,#},{.,.,.,.,#,.,.,.,#,#},{.,.,.,.,.,.,.,.,.,#},{#,.,.,.,.,#,.,.,.,#},{#,.,.,.,.,.,.,.,.,#},{#,#,#,.,#,.,.,.,.,.},{.,.,.,.,.,.,#,#,#,.},{.,.,.,#,#,.,.,#,.,.},{.,#,.,#,.,#,.,#,.,.}}"
1699,#.###..#.#,#..#.##.##,#..###..##,###.###.##,"{{#,.,#,#,#,.,.,#,.,#},{.,.,.,.,#,#,.,.,.,#},{.,.,.,.,#,.,.,.,.,#},{#,.,#,.,#,.,.,.,#,.},{#,#,.,.,.,.,.,.,#,#},{#,.,.,#,.,.,.,#,#,#},{.,.,#,.,.,.,#,.,#,#},{.,.,.,.,.,.,.,#,.,.},{#,.,.,.,.,#,.,.,#,#},{#,.,.,#,.,#,#,.,#,#}}"
2269,####...##.,####...###,#.####..##,..#..#...#,"{{#,#,#,#,.,.,.,#,#,.},{.,#,#,#,.,.,.,.,.,.},{#,.,.,.,.,.,#,.,.,#},{#,.,#,.,#,.,.,#,.,.},{#,#,.,.,#,.,.,.,.,.},{#,#,#,.,.,#,#,#,.,#},{.,.,.,.,.,.,.,.,.,.},{.,.,.,.,.,.,.,.,#,.},{#,#,.,#,#,.,#,.,.,.},{#,#,#,#,.,.,.,#,#,#}}"
3373,###..##..#,.#.#.....#,#..#..##..,#.##...###,"{{#,#,#,.,.,#,#,.,.,#},{.,.,.,.,.,.,.,#,.,.},{.,.,.,.,.,.,.,.,.,#},{#,.,.,.,.,.,.,.,.,#},{.,.,.,.,.,.,#,.,.,.},{.,.,.,#,#,.,.,#,.,.},{#,.,#,.,.,.,.,.,#,.},{#,#,.,.,.,.,.,.,#,#},{.,.,#,.,.,.,.,.,#,#},{.,#,.,#,.,.,.,.,.,#}}"
1423,##.###...#,#.#..#.#.#,#..##.##.#,#..##.#..#,"{{#,#,.,#,#,#,.,.,.,#},{.,.,.,#,#,.,.,.,#,.},{.,.,#,.,.,#,.,.,#,.},{#,#,.,#,#,#,.,.,.,#},{#,.,#,.,.,.,.,.,#,#},{.,.,#,.,.,.,.,.,.,.},{#,.,.,.,#,.,.,#,.,#},{#,.,.,.,.,.,#,.,.,.},{.,.,#,.,#,.,.,.,.,.},{#,.,#,.,.,#,.,#,.,#}}"
3137,##...#...#,##.#..####,#.##...#.#,####.#.#.#,"{{#,#,.,.,.,#,.,.,.,#},{.,.,#,.,.,.,.,#,.,#},{#,.,.,#,.,.,.,#,#,#},{#,#,.,#,.,#,.,.,.,#},{.,.,.,.,.,.,#,.,.,.},{.,#,#,.,#,.,.,.,.,#},{.,.,#,#,.,#,.,.,#,.},{#,#,.,#,#,.,.,.,.,#},{.,#,#,.,.,#,#,.,.,.},{#,#,.,#,.,.,#,#,#,#}}"
2381,#.....##..,##..###.##,########.#,....#.##.#,"{{#,.,.,.,.,.,#,#,.,.},{#,.,.,.,.,#,.,.,.,.},{#,.,#,.,.,#,.,#,.,.},{#,.,#,.,.,.,.,#,.,.},{#,.,#,.,.,#,.,.,#,#},{#,#,.,.,.,#,.,.,#,.},{#,.,#,#,#,.,.,.,.,#},{#,.,.,#,.,.,#,.,.,#},{.,#,.,#,.,#,.,#,.,.},{#,#,.,.,#,#,#,.,#,#}}"
1151,.#.#...#..,.#.#..#..#,...#.#.##.,..#....#.#,"{{.,#,.,#,.,.,.,#,.,.},{.,#,#,.,.,.,#,.,.,.},{.,.,.,.,#,.,#,.,.,#},{#,.,#,.,#,#,.,.,.,.},{.,.,.,.,.,.,.,.,.,.},{#,.,.,#,#,#,#,.,.,.},{.,.,#,.,.,#,.,.,.,.},{#,.,#,.,.,.,#,.,.,#},{#,#,.,.,#,.,#,.,.,.},{.,#,.,#,.,.,#,.,.,#}}"
3797,#...##.#.#,.....#..##,####.####.,#.#.....##,"{{#,.,.,.,#,#,.,#,.,#},{#,.,.,.,#,#,#,.,.,.},{#,#,.,#,.,#,#,.,.,#},{#,#,.,.,#,.,.,#,.,.},{.,#,.,.,.,.,#,.,.,.},{#,.,#,.,#,#,#,.,.,.},{#,.,.,.,.,.,#,.,.,.},{#,#,.,.,.,.,.,#,.,.},{#,.,#,.,.,.,.,.,.,#},{.,.,.,.,.,#,.,.,#,#}}"
2609,.#...#.###,.###....##,..#...###.,#.#..#####,"{{.,#,.,.,.,#,.,#,#,#},{.,.,.,.,.,#,.,.,.,.},{#,.,.,#,.,.,#,.,.,#},{.,#,.,.,.,.,.,.,#,.},{.,.,.,.,.,.,#,.,.,.},{.,.,.,.,.,.,.,.,.,#},{#,.,.,.,#,.,.,#,.,#},{#,.,.,#,#,.,.,#,.,#},{#,#,.,.,#,.,#,.,#,#},{.,#,#,#,.,.,.,.,#,#}}"
