x,y,spot,n
89,4,L,0
90,4,L,0
0,5,L,0
1,5,L,0
2,5,L,0
3,5,L,0
4,5,L,0
5,5,L,0
6,5,L,0
7,5,L,0
8,5,L,0
9,5,L,0
10,5,L,0
11,5,L,0
12,5,L,0
13,5,L,0
14,5,L,0
15,5,L,0
16,5,L,0
17,5,.,0
18,5,L,0
19,5,L,0
20,5,L,0
21,5,L,0
22,5,.,0
23,5,L,0
24,5,L,0
25,5,L,0
26,5,L,0
27,5,L,0
28,5,.,0
29,5,L,0
30,5,L,0
31,5,L,0
32,5,L,0
33,5,L,0
34,5,.,0
35,5,L,0
36,5,L,0
37,5,L,0
38,5,L,0
39,5,L,0
40,5,L,0
41,5,.,0
42,5,L,0
43,5,L,0
44,5,L,0
45,5,.,0
46,5,L,0
47,5,L,0
48,5,L,0
49,5,L,0
50,5,.,0
51,5,L,0
52,5,L,0
53,5,L,0
54,5,L,0
55,5,L,0
56,5,L,0
57,5,L,0
58,5,L,0
59,5,L,0
60,5,.,0
61,5,L,0
62,5,L,0
63,5,L,0
64,5,L,0
65,5,L,0
66,5,L,0
67,5,L,0
68,5,L,0
69,5,L,0
70,5,L,0
71,5,L,0
72,5,.,0
73,5,L,0
74,5,.,0
75,5,L,0
76,5,.,0
77,5,L,0
78,5,L,0
79,5,L,0
80,5,L,0
81,5,L,0
82,5,L,0
83,5,L,0
84,5,L,0
85,5,L,0
86,5,L,0
87,5,L,0
88,5,L,0
89,5,L,0
90,5,L,0
0,6,L,0
1,6,L,0
2,6,L,0
3,6,L,0
4,6,.,0
5,6,L,0
6,6,L,0
7,6,L,0
8,6,L,0
9,6,L,0
10,6,L,0
11,6,L,0
12,6,L,0
13,6,L,0
14,6,L,0
15,6,L,0
16,6,L,0
17,6,L,0
18,6,L,0
19,6,L,0
20,6,L,0
21,6,.,0
22,6,L,0
23,6,L,0
24,6,.,0
25,6,L,0
26,6,L,0
27,6,L,0
28,6,L,0
29,6,L,0
30,6,L,0
31,6,L,0
32,6,L,0
33,6,L,0
34,6,.,0
35,6,L,0
36,6,L,0
37,6,.,0
38,6,.,0
39,6,L,0
40,6,L,0
41,6,.,0
42,6,L,0
43,6,L,0
44,6,L,0
45,6,L,0
46,6,L,0
47,6,L,0
48,6,L,0
49,6,L,0
50,6,.,0
51,6,.,0
52,6,L,0
53,6,L,0
54,6,L,0
55,6,L,0
56,6,L,0
57,6,L,0
58,6,.,0
59,6,L,0
60,6,.,0
61,6,.,0
62,6,L,0
63,6,L,0
64,6,L,0
65,6,.,0
66,6,L,0
67,6,L,0
68,6,.,0
69,6,L,0
70,6,L,0
71,6,L,0
72,6,L,0
73,6,L,0
74,6,L,0
75,6,L,0
76,6,L,0
77,6,L,0
78,6,L,0
79,6,.,0
80,6,L,0
81,6,L,0
82,6,L,0
83,6,L,0
84,6,L,0
85,6,L,0
86,6,L,0
87,6,L,0
88,6,L,0
89,6,L,0
90,6,L,0
0,7,L,0
1,7,L,0
2,7,L,0
3,7,L,0
4,7,L,0
5,7,L,0
6,7,L,0
7,7,.,0
8,7,L,0
9,7,L,0
10,7,L,0
11,7,L,0
12,7,L,0
13,7,L,0
14,7,L,0
15,7,L,0
16,7,L,0
17,7,.,0
18,7,L,0
19,7,L,0
20,7,L,0
21,7,L,0
22,7,.,0
23,7,L,0
24,7,L,0
25,7,L,0
26,7,L,0
27,7,L,0
28,7,.,0
29,7,.,0
30,7,L,0
31,7,L,0
32,7,L,0
33,7,L,0
34,7,.,0
35,7,L,0
36,7,L,0
37,7,L,0
38,7,L,0
39,7,L,0
40,7,L,0
41,7,.,0
42,7,L,0
43,7,L,0
44,7,L,0
45,7,L,0
46,7,L,0
47,7,L,0
48,7,L,0
49,7,L,0
50,7,L,0
51,7,L,0
52,7,L,0
53,7,L,0
54,7,L,0
55,7,L,0
56,7,L,0
57,7,L,0
58,7,L,0
59,7,L,0
60,7,.,0
61,7,L,0
62,7,L,0
63,7,L,0
64,7,L,0
65,7,L,0
66,7,L,0
67,7,L,0
68,7,.,0
69,7,L,0
70,7,L,0
71,7,L,0
72,7,L,0
73,7,L,0
74,7,.,0
75,7,L,0
76,7,L,0
77,7,L,0
78,7,L,0
79,7,.,0
80,7,L,0
81,7,L,0
82,7,L,0
83,7,L,0
84,7,L,0
85,7,L,0
86,7,L,0
87,7,L,0
88,7,L,0
89,7,L,0
90,7,L,0
0,8,L,0
1,8,L,0
2,8,L,0
3,8,L,0
4,8,L,0
5,8,L,0
6,8,L,0
7,8,L,0
8,8,L,0
9,8,.,0
10,8,L,0
11,8,L,0
12,8,L,0
13,8,L,0
14,8,L,0
15,8,L,0
16,8,L,0
17,8,L,0
18,8,.,0
19,8,L,0
20,8,L,0
21,8,L,0
22,8,.,0
23,8,.,0
24,8,L,0
25,8,L,0
26,8,L,0
27,8,L,0
28,8,.,0
29,8,L,0
30,8,L,0
31,8,L,0
32,8,L,0
33,8,L,0
34,8,L,0
35,8,L,0
36,8,L,0
37,8,L,0
38,8,L,0
39,8,L,0
40,8,L,0
41,8,.,0
42,8,L,0
43,8,L,0
44,8,L,0
45,8,L,0
46,8,L,0
47,8,L,0
48,8,L,0
49,8,L,0
50,8,L,0
51,8,L,0
52,8,L,0
53,8,L,0
54,8,L,0
55,8,L,0
56,8,L,0
57,8,L,0
58,8,L,0
59,8,L,0
60,8,.,0
61,8,L,0
62,8,L,0
63,8,L,0
64,8,L,0
65,8,L,0
66,8,L,0
67,8,L,0
68,8,L,0
69,8,L,0
70,8,L,0
71,8,L,0
72,8,L,0
73,8,L,0
74,8,.,0
75,8,L,0
76,8,L,0
77,8,L,0
78,8,L,0
79,8,.,0
80,8,L,0
81,8,L,0
82,8,L,0
83,8,L,0
84,8,L,0
85,8,L,0
86,8,L,0
87,8,L,0
88,8,L,0
89,8,L,0
90,8,L,0
0,9,.,0
1,9,L,0
2,9,.,0
3,9,.,0
4,9,.,0
5,9,.,0
6,9,.,0
7,9,L,0
8,9,.,0
9,9,.,0
10,9,.,0
11,9,.,0
12,9,.,0
13,9,.,0
14,9,L,0
15,9,.,0
16,9,L,0
17,9,.,0
18,9,L,0
19,9,.,0
20,9,.,0
21,9,.,0
22,9,L,0
23,9,.,0
24,9,.,0
25,9,.,0
26,9,L,0
27,9,L,0
28,9,.,0
29,9,.,0
30,9,.,0
31,9,.,0
32,9,.,0
33,9,.,0
34,9,.,0
35,9,.,0
36,9,.,0
37,9,.,0
38,9,L,0
39,9,.,0
40,9,.,0
41,9,.,0
42,9,.,0
43,9,L,0
44,9,.,0
45,9,.,0
46,9,L,0
47,9,L,0
48,9,.,0
49,9,.,0
50,9,.,0
51,9,.,0
52,9,.,0
53,9,L,0
54,9,.,0
55,9,L,0
56,9,.,0
57,9,.,0
58,9,.,0
59,9,.,0
60,9,L,0
61,9,.,0
62,9,.,0
63,9,.,0
64,9,.,0
65,9,.,0
66,9,L,0
67,9,.,0
68,9,.,0
69,9,.,0
70,9,.,0
71,9,.,0
72,9,.,0
73,9,L,0
74,9,.,0
75,9,.,0
76,9,.,0
77,9,.,0
78,9,.,0
79,9,.,0
80,9,.,0
81,9,L,0
82,9,.,0
83,9,.,0
84,9,.,0
85,9,L,0
86,9,.,0
87,9,.,0
88,9,L,0
89,9,.,0
90,9,L,0
0,10,L,0
1,10,L,0
2,10,L,0
3,10,L,0
4,10,L,0
5,10,L,0
6,10,.,0
7,10,L,0
8,10,L,0
9,10,.,0
10,10,L,0
11,10,L,0
12,10,L,0
13,10,L,0
14,10,L,0
15,10,L,0
16,10,L,0
17,10,L,0
18,10,L,0
19,10,L,0
20,10,L,0
21,10,L,0
22,10,L,0
23,10,L,0
24,10,L,0
25,10,L,0
26,10,L,0
27,10,L,0
28,10,.,0
29,10,L,0
30,10,L,0
31,10,L,0
32,10,L,0
33,10,L,0
34,10,.,0
35,10,L,0
36,10,L,0
37,10,L,0
38,10,L,0
39,10,L,0
40,10,L,0
41,10,L,0
42,10,L,0
43,10,L,0
44,10,L,0
45,10,L,0
46,10,L,0
47,10,L,0
48,10,L,0
49,10,L,0
50,10,.,0
51,10,L,0
52,10,L,0
53,10,L,0
54,10,L,0
55,10,L,0
56,10,L,0
57,10,L,0
58,10,L,0
59,10,L,0
60,10,.,0
61,10,L,0
62,10,L,0
63,10,L,0
64,10,L,0
65,10,L,0
66,10,L,0
67,10,L,0
68,10,.,0
69,10,L,0
70,10,L,0
71,10,L,0
72,10,L,0
73,10,L,0
74,10,L,0
75,10,L,0
76,10,L,0
77,10,L,0
78,10,L,0
79,10,L,0
80,10,L,0
81,10,L,0
82,10,L,0
83,10,L,0
84,10,L,0
85,10,L,0
86,10,L,0
87,10,L,0
88,10,L,0
89,10,L,0
90,10,L,0
0,11,L,0
1,11,L,0
2,11,L,0
3,11,L,0
4,11,L,0
5,11,L,0
6,11,L,0
7,11,L,0
8,11,L,0
9,11,.,0
10,11,L,0
11,11,L,0
12,11,L,0
13,11,L,0
14,11,L,0
15,11,L,0
16,11,L,0
17,11,L,0
18,11,L,0
19,11,L,0
20,11,L,0
21,11,L,0
22,11,.,0
23,11,L,0
24,11,L,0
25,11,L,0
26,11,L,0
27,11,L,0
28,11,.,0
29,11,L,0
30,11,L,0
31,11,L,0
32,11,L,0
33,11,L,0
34,11,L,0
35,11,L,0
36,11,L,0
37,11,L,0
38,11,L,0
39,11,L,0
40,11,L,0
41,11,.,0
42,11,L,0
43,11,L,0
44,11,L,0
45,11,L,0
46,11,L,0
47,11,L,0
48,11,L,0
49,11,L,0
50,11,.,0
51,11,L,0
52,11,L,0
53,11,L,0
54,11,L,0
55,11,L,0
56,11,L,0
57,11,L,0
58,11,L,0
59,11,L,0
60,11,.,0
61,11,L,0
62,11,L,0
63,11,L,0
64,11,.,0
65,11,L,0
66,11,L,0
67,11,L,0
68,11,L,0
69,11,L,0
70,11,L,0
71,11,L,0
72,11,L,0
73,11,L,0
74,11,.,0
75,11,L,0
76,11,L,0
77,11,L,0
78,11,L,0
79,11,L,0
80,11,L,0
81,11,L,0
82,11,L,0
83,11,L,0
84,11,.,0
85,11,L,0
86,11,L,0
87,11,L,0
88,11,L,0
89,11,L,0
90,11,L,0
0,12,L,0
1,12,L,0
2,12,L,0
3,12,L,0
4,12,L,0
5,12,L,0
6,12,L,0
7,12,L,0
8,12,L,0
9,12,L,0
10,12,L,0
11,12,L,0
12,12,L,0
13,12,L,0
14,12,L,0
15,12,L,0
16,12,L,0
17,12,L,0
18,12,L,0
19,12,L,0
20,12,L,0
21,12,L,0
22,12,.,0
23,12,L,0
24,12,L,0
25,12,L,0
26,12,L,0
27,12,L,0
28,12,L,0
29,12,L,0
30,12,L,0
31,12,.,0
32,12,L,0
33,12,L,0
34,12,L,0
35,12,.,0
36,12,L,0
37,12,L,0
38,12,L,0
39,12,L,0
40,12,L,0
41,12,.,0
42,12,L,0
43,12,L,0
44,12,L,0
45,12,L,0
46,12,L,0
47,12,L,0
48,12,L,0
49,12,.,0
50,12,L,0
51,12,L,0
52,12,L,0
53,12,L,0
54,12,L,0
55,12,L,0
56,12,.,0
57,12,L,0
58,12,L,0
59,12,L,0
60,12,L,0
61,12,L,0
62,12,L,0
63,12,L,0
64,12,L,0
65,12,L,0
66,12,L,0
67,12,L,0
68,12,.,0
69,12,L,0
70,12,L,0
71,12,L,0
72,12,L,0
73,12,L,0
74,12,L,0
75,12,L,0
76,12,L,0
77,12,L,0
78,12,L,0
79,12,.,0
80,12,L,0
81,12,L,0
82,12,L,0
83,12,L,0
84,12,L,0
85,12,L,0
86,12,L,0
87,12,.,0
88,12,L,0
89,12,L,0
90,12,L,0
0,13,L,0
1,13,L,0
2,13,L,0
3,13,L,0
4,13,L,0
5,13,L,0
6,13,L,0
7,13,L,0
8,13,L,0
9,13,.,0
10,13,L,0
11,13,L,0
12,13,L,0
13,13,L,0
14,13,L,0
15,13,L,0
16,13,L,0
17,13,L,0
18,13,L,0
19,13,L,0
20,13,L,0
21,13,L,0
22,13,.,0
23,13,L,0
24,13,L,0
25,13,L,0
26,13,L,0
27,13,L,0
28,13,.,0
29,13,L,0
30,13,L,0
31,13,.,0
32,13,L,0
33,13,L,0
34,13,.,0
35,13,L,0
36,13,L,0
37,13,L,0
38,13,L,0
39,13,L,0
40,13,L,0
41,13,.,0
42,13,L,0
43,13,L,0
44,13,L,0
45,13,L,0
46,13,L,0
47,13,L,0
48,13,L,0
49,13,L,0
50,13,L,0
51,13,L,0
52,13,L,0
53,13,L,0
54,13,.,0
55,13,L,0
56,13,.,0
57,13,L,0
58,13,L,0
59,13,L,0
60,13,.,0
61,13,L,0
62,13,.,0
63,13,L,0
64,13,L,0
65,13,L,0
66,13,L,0
67,13,L,0
68,13,L,0
69,13,L,0
70,13,L,0
71,13,L,0
72,13,L,0
73,13,L,0
74,13,.,0
75,13,L,0
76,13,L,0
77,13,L,0
78,13,L,0
79,13,L,0
80,13,L,0
81,13,L,0
82,13,L,0
83,13,L,0
84,13,L,0
85,13,L,0
86,13,L,0
87,13,L,0
88,13,L,0
89,13,L,0
90,13,L,0
0,14,L,0
1,14,L,0
2,14,L,0
3,14,L,0
4,14,L,0
5,14,L,0
6,14,L,0
7,14,L,0
8,14,L,0
9,14,.,0
10,14,L,0
11,14,L,0
12,14,L,0
13,14,L,0
14,14,L,0
15,14,L,0
16,14,L,0
17,14,.,0
18,14,L,0
19,14,L,0
20,14,L,0
21,14,L,0
22,14,.,0
23,14,L,0
24,14,L,0
25,14,L,0
26,14,L,0
27,14,L,0
28,14,.,0
29,14,L,0
30,14,L,0
31,14,L,0
32,14,L,0
33,14,L,0
34,14,.,0
35,14,L,0
36,14,L,0
37,14,L,0
38,14,L,0
39,14,L,0
40,14,L,0
41,14,L,0
42,14,L,0
43,14,L,0
44,14,L,0
45,14,L,0
46,14,.,0
47,14,L,0
48,14,L,0
49,14,L,0
50,14,.,0
51,14,.,0
52,14,L,0
53,14,L,0
54,14,L,0
55,14,L,0
56,14,L,0
57,14,L,0
58,14,L,0
59,14,L,0
60,14,.,0
61,14,L,0
62,14,L,0
63,14,L,0
64,14,L,0
65,14,L,0
66,14,L,0
67,14,L,0
68,14,.,0
69,14,L,0
70,14,L,0
71,14,L,0
72,14,L,0
73,14,L,0
74,14,.,0
75,14,L,0
76,14,L,0
77,14,L,0
78,14,L,0
79,14,L,0
80,14,L,0
81,14,L,0
82,14,L,0
83,14,L,0
84,14,L,0
85,14,L,0
86,14,L,0
87,14,L,0
88,14,L,0
89,14,L,0
90,14,L,0
0,15,L,0
1,15,L,0
2,15,L,0
3,15,L,0
4,15,L,0
5,15,L,0
6,15,L,0
7,15,L,0
8,15,L,0
9,15,.,0
10,15,L,0
11,15,L,0
12,15,L,0
13,15,L,0
14,15,.,0
15,15,L,0
16,15,L,0
17,15,L,0
18,15,L,0
19,15,L,0
20,15,L,0
21,15,L,0
22,15,.,0
23,15,L,0
24,15,L,0
25,15,L,0
26,15,L,0
27,15,L,0
28,15,.,0
29,15,L,0
30,15,.,0
31,15,L,0
32,15,L,0
33,15,L,0
34,15,.,0
35,15,L,0
36,15,L,0
37,15,L,0
38,15,L,0
39,15,L,0
40,15,L,0
41,15,.,0
42,15,L,0
43,15,L,0
44,15,L,0
45,15,L,0
46,15,L,0
47,15,L,0
48,15,L,0
49,15,L,0
50,15,.,0
51,15,L,0
52,15,L,0
53,15,L,0
54,15,L,0
55,15,L,0
56,15,.,0
57,15,L,0
58,15,L,0
59,15,L,0
60,15,.,0
61,15,L,0
62,15,L,0
63,15,L,0
64,15,.,0
65,15,L,0
66,15,L,0
67,15,L,0
68,15,.,0
69,15,L,0
70,15,L,0
71,15,L,0
72,15,L,0
73,15,L,0
74,15,L,0
75,15,L,0
76,15,L,0
77,15,L,0
78,15,L,0
79,15,.,0
80,15,.,0
81,15,L,0
82,15,L,0
83,15,L,0
84,15,.,0
85,15,L,0
86,15,L,0
87,15,L,0
88,15,L,0
89,15,L,0
90,15,L,0
0,16,L,0
1,16,L,0
2,16,L,0
3,16,L,0
4,16,L,0
5,16,L,0
6,16,L,0
7,16,L,0
8,16,L,0
9,16,L,0
10,16,L,0
11,16,L,0
12,16,L,0
13,16,L,0
14,16,L,0
15,16,L,0
16,16,L,0
17,16,.,0
18,16,L,0
19,16,L,0
20,16,L,0
21,16,L,0
22,16,L,0
23,16,L,0
24,16,L,0
25,16,L,0
26,16,L,0
27,16,L,0
28,16,L,0
29,16,L,0
30,16,L,0
31,16,L,0
32,16,L,0
33,16,L,0
34,16,.,0
35,16,.,0
36,16,L,0
37,16,L,0
38,16,L,0
39,16,.,0
40,16,L,0
41,16,L,0
42,16,L,0
43,16,L,0
44,16,L,0
45,16,L,0
46,16,L,0
47,16,L,0
48,16,L,0
49,16,L,0
50,16,L,0
51,16,L,0
52,16,L,0
53,16,L,0
54,16,L,0
55,16,L,0
56,16,L,0
57,16,L,0
58,16,L,0
59,16,L,0
60,16,L,0
61,16,L,0
62,16,L,0
63,16,L,0
64,16,L,0
65,16,L,0
66,16,L,0
67,16,L,0
68,16,.,0
69,16,L,0
70,16,L,0
71,16,L,0
72,16,L,0
73,16,L,0
74,16,L,0
75,16,L,0
76,16,L,0
77,16,L,0
78,16,L,0
79,16,.,0
80,16,L,0
81,16,L,0
82,16,L,0
83,16,L,0
84,16,L,0
85,16,L,0
86,16,L,0
87,16,L,0
88,16,L,0
89,16,L,0
90,16,L,0
0,17,.,0
1,17,.,0
2,17,L,0
3,17,L,0
4,17,L,0
5,17,.,0
6,17,.,0
7,17,.,0
8,17,.,0
9,17,.,0
10,17,L,0
11,17,.,0
12,17,.,0
13,17,.,0
14,17,L,0
15,17,.,0
16,17,L,0
17,17,.,0
18,17,.,0
19,17,.,0
20,17,.,0
21,17,L,0
22,17,.,0
23,17,L,0
24,17,.,0
25,17,L,0
26,17,.,0
27,17,L,0
28,17,.,0
29,17,L,0
30,17,L,0
31,17,.,0
32,17,.,0
33,17,.,0
34,17,L,0
35,17,.,0
36,17,L,0
37,17,L,0
38,17,.,0
39,17,L,0
40,17,.,0
41,17,.,0
42,17,L,0
43,17,L,0
44,17,L,0
45,17,.,0
46,17,.,0
47,17,.,0
48,17,.,0
49,17,.,0
50,17,.,0
51,17,L,0
52,17,.,0
53,17,.,0
54,17,.,0
55,17,.,0
56,17,.,0
57,17,L,0
58,17,.,0
59,17,L,0
60,17,.,0
61,17,.,0
62,17,.,0
63,17,L,0
64,17,.,0
65,17,.,0
66,17,L,0
67,17,L,0
68,17,.,0
69,17,L,0
70,17,L,0
71,17,.,0
72,17,.,0
73,17,.,0
74,17,L,0
75,17,L,0
76,17,.,0
77,17,.,0
78,17,L,0
79,17,.,0
80,17,.,0
81,17,.,0
82,17,.,0
83,17,L,0
84,17,.,0
85,17,.,0
86,17,.,0
87,17,.,0
88,17,.,0
89,17,.,0
90,17,.,0
0,18,L,0
1,18,L,0
2,18,L,0
3,18,L,0
4,18,L,0
5,18,L,0
6,18,L,0
7,18,L,0
8,18,L,0
9,18,.,0
10,18,L,0
11,18,L,0
12,18,L,0
13,18,L,0
14,18,L,0
15,18,L,0
16,18,L,0
17,18,.,0
18,18,L,0
19,18,L,0
20,18,L,0
21,18,L,0
22,18,.,0
23,18,L,0
24,18,L,0
25,18,L,0
26,18,L,0
27,18,L,0
28,18,L,0
29,18,L,0
30,18,L,0
31,18,L,0
32,18,L,0
33,18,L,0
34,18,.,0
35,18,L,0
36,18,L,0
37,18,L,0
38,18,L,0
39,18,L,0
40,18,L,0
41,18,L,0
42,18,L,0
43,18,L,0
44,18,L,0
45,18,L,0
46,18,L,0
47,18,L,0
48,18,L,0
49,18,L,0
50,18,L,0
51,18,L,0
52,18,L,0
53,18,L,0
54,18,L,0
55,18,L,0
56,18,L,0
57,18,L,0
58,18,L,0
59,18,L,0
60,18,.,0
61,18,L,0
62,18,L,0
63,18,L,0
64,18,L,0
65,18,L,0
66,18,L,0
67,18,L,0
68,18,.,0
69,18,L,0
70,18,L,0
71,18,L,0
72,18,L,0
73,18,L,0
74,18,.,0
75,18,L,0
76,18,L,0
77,18,L,0
78,18,.,0
79,18,.,0
80,18,L,0
81,18,L,0
82,18,L,0
83,18,L,0
84,18,L,0
85,18,L,0
86,18,L,0
87,18,L,0
88,18,L,0
89,18,L,0
90,18,.,0
0,19,L,0
1,19,L,0
2,19,L,0
3,19,L,0
4,19,L,0
5,19,L,0
6,19,L,0
7,19,L,0
8,19,L,0
9,19,.,0
10,19,L,0
11,19,L,0
12,19,L,0
13,19,L,0
14,19,.,0
15,19,L,0
16,19,L,0
17,19,L,0
