t,act,arg
371,L,90
372,L,270
373,F,56
374,L,90
375,N,1
376,L,90
377,F,7
378,S,3
379,F,36
380,L,90
381,F,2
382,L,90
383,F,2
384,W,4
385,S,4
386,L,90
387,E,5
388,N,2
389,L,90
390,S,4
391,R,90
392,W,1
393,R,90
394,N,2
395,E,3
396,W,2
397,S,4
398,E,4
399,R,90
400,N,5
401,L,90
402,N,4
403,F,55
404,N,3
405,E,1
406,F,80
407,W,2
408,R,90
409,S,2
410,L,90
411,W,5
412,R,90
413,R,90
414,F,87
415,L,270
416,S,5
417,R,270
418,N,5
419,E,5
420,F,10
421,E,1
422,R,180
423,N,1
424,L,90
425,S,3
426,W,1
427,F,18
428,R,90
429,S,3
430,F,89
431,L,90
432,F,42
433,S,3
434,R,180
435,F,92
436,L,90
437,F,48
438,F,11
439,W,2
440,L,180
441,F,27
442,L,180
443,N,3
444,W,1
445,S,2
446,L,90
447,W,1
448,N,1
449,W,4
450,N,1
451,R,90
452,S,2
453,W,5
454,E,1
455,F,74
456,L,180
457,F,48
458,W,3
459,F,3
460,E,3
461,F,74
462,L,270
463,F,38
464,R,180
465,N,2
466,F,83
467,S,1
468,F,78
469,L,90
470,N,4
471,F,43
472,W,3
473,W,2
474,N,1
475,L,90
476,N,2
477,W,4
478,L,90
479,S,5
480,E,5
481,W,1
482,F,83
483,E,5
484,F,70
485,N,2
486,L,90
487,N,2
488,F,66
489,S,2
490,E,2
491,R,90
492,N,1
493,F,2
494,L,90
495,F,15
496,W,3
497,F,10
498,R,90
499,N,3
500,E,5
501,N,5
502,F,57
503,R,90
504,W,2
505,F,83
506,F,91
507,W,5
508,N,2
509,R,90
510,E,4
511,S,2
512,L,90
513,N,2
514,R,90
515,S,1
516,F,49
517,L,90
518,E,3
519,L,180
520,E,2
521,F,98
522,S,1
523,R,180
524,F,23
525,N,2
526,E,2
527,F,8
528,N,2
529,L,90
530,E,2
531,N,4
532,R,90
533,F,29
534,L,90
535,E,5
536,S,3
537,F,92
538,S,5
539,F,68
540,N,1
541,L,90
542,S,5
543,F,73
544,W,4
545,L,180
546,S,1
547,R,180
548,F,74
549,R,90
550,F,27
551,R,180
552,R,90
553,F,88
554,R,270
555,S,1
556,W,1
557,F,73
558,W,1
559,S,5
560,L,90
561,N,5
562,R,90
563,F,50
564,E,2
565,R,90
566,W,3
567,F,23
568,L,90
569,W,2
570,N,1
571,E,2
572,N,2
573,F,56
574,L,90
575,F,22
576,E,5
577,F,46
578,S,2
579,L,180
580,E,4
581,R,90
582,F,10
583,W,2
584,R,90
585,E,5
586,L,270
587,S,4
588,F,55
589,R,90
590,F,17
591,R,90
592,F,8
593,L,180
594,F,25
595,E,4
596,S,2
597,E,1
598,S,1
599,F,35
600,N,5
601,W,5
602,N,3
603,F,79
604,N,1
605,R,90
606,E,1
607,F,32
608,R,90
609,F,87
610,N,2
611,R,180
612,L,180
613,F,38
614,L,90
615,S,1
616,L,270
617,S,5
618,F,63
619,L,180
620,F,50
621,W,1
622,F,23
623,S,2
624,E,2
625,F,30
626,E,3
627,L,90
628,F,79
629,R,180
630,F,90
631,L,180
632,F,81
633,R,90
634,F,72
635,R,180
636,E,4
637,N,3
638,W,3
639,R,90
640,E,5
641,R,90
642,F,81
643,S,3
644,F,66
645,S,5
646,F,83
647,L,90
648,F,15
649,N,5
650,F,16
651,L,270
652,S,3
653,L,270
654,S,3
655,L,90
656,N,5
657,E,2
658,F,60
659,W,2
660,S,4
661,E,1
662,R,180
663,W,2
664,F,28
665,W,4
666,R,90
667,N,3
668,W,3
669,F,48
670,W,2
671,S,5
672,F,2
673,R,90
674,F,47
675,S,5
676,F,11
677,S,5
678,E,2
679,N,2
680,F,93
681,S,2
682,E,4
683,F,23
684,E,4
685,S,1
686,L,90
687,F,87
688,L,180
689,N,4
690,W,5
691,N,5
692,R,180
693,R,90
694,S,5
695,F,65
696,E,5
697,F,51
698,E,5
699,F,65
700,L,90
701,S,4
702,W,3
703,L,180
704,W,1
705,W,2
706,E,4
707,R,270
708,N,4
709,F,86
710,R,90
711,L,90
712,F,9
713,F,76
714,N,4
715,E,4
716,N,4
717,R,90
718,F,40
719,E,5
720,S,1
721,W,3
722,F,22
723,W,2
724,L,90
725,F,51
726,W,1
727,E,1
728,S,2
729,F,27
730,S,5
731,R,90
732,R,270
733,R,90
734,F,71
735,R,90
736,W,4
737,R,90
738,W,1
739,N,4
740,L,90
741,E,2
742,E,1
743,F,61
744,W,1
745,S,5
746,E,2
747,E,4
748,F,10
749,L,90
750,N,2
751,F,3
752,R,90
753,F,7
754,L,90
755,F,56
756,N,1
757,R,270
758,F,70
759,F,71
760,N,3
761,F,96
762,R,90
763,F,56
764,S,4
765,F,96
766,S,5
767,W,5
768,N,4
769,E,2
770,F,90
771,S,5
772,R,180
773,F,81
774,E,1
775,N,4
776,L,90
777,S,2
778,L,180
779,E,5
780,R,90
781,S,4
782,F,60
783,S,4
784,W,3
785,F,3
786,E,5
787,F,54
