outer,qty,inner
faded blue,4,bright yellow
light chartreuse,3,wavy coral
light chartreuse,5,striped aqua
light chartreuse,2,striped red
clear fuchsia,4,striped crimson
clear fuchsia,4,muted olive
clear fuchsia,1,posh tan
clear fuchsia,2,pale green
bright gold,5,wavy brown
bright gold,5,vibrant violet
bright gold,3,light orange
bright gold,1,dull plum
light tomato,3,wavy brown
light tomato,1,striped crimson
light tomato,3,clear red
light tomato,1,mirrored blue
plaid cyan,3,wavy lavender
shiny turquoise,5,drab green
wavy gold,2,pale aqua
wavy gold,1,posh aqua
wavy gold,5,mirrored purple
wavy gold,5,bright salmon
drab lime,4,dim maroon
dotted indigo,1,light turquoise
dull turquoise,2,dim brown
wavy violet,3,shiny bronze
wavy violet,4,muted maroon
wavy violet,1,shiny green
bright gray,1,posh coral
mirrored white,4,dull aqua
mirrored white,5,faded plum
mirrored white,4,dotted salmon
striped aqua,5,clear gold
light fuchsia,1,dull teal
light fuchsia,2,mirrored fuchsia
light fuchsia,2,clear indigo
muted turquoise,5,vibrant maroon
muted turquoise,4,shiny turquoise
muted turquoise,3,dotted indigo
muted turquoise,5,light maroon
dim black,4,clear violet
dim black,5,clear black
dim black,5,light aqua
dim black,1,posh coral
dim coral,2,striped magenta
dim coral,4,pale white
dim coral,4,shiny plum
dim coral,5,drab aqua
mirrored tomato,4,drab magenta
mirrored tomato,4,clear purple
dim fuchsia,5,striped beige
dim fuchsia,4,muted violet
dim fuchsia,2,plaid olive
light bronze,2,mirrored silver
light bronze,2,light tomato
light bronze,1,wavy turquoise
muted orange,3,posh salmon
dark tan,4,faded magenta
shiny silver,2,striped lime
clear brown,1,wavy purple
clear brown,3,mirrored lime
pale olive,1,faded silver
pale olive,3,drab salmon
pale olive,4,faded gray
dull white,2,faded violet
dull white,5,dim lime
light violet,5,vibrant purple
light violet,4,muted fuchsia
light violet,4,striped cyan
light violet,5,dull maroon
plaid brown,4,dark chartreuse
plaid brown,5,shiny red
plaid brown,5,vibrant gray
clear aqua,1,faded bronze
dark green,2,dim lavender
dark green,4,dull white
dull silver,1,vibrant red
dull silver,2,pale lime
dull silver,5,posh cyan
shiny gray,5,clear black
shiny gray,3,striped aqua
shiny gray,2,clear gold
pale purple,5,posh chartreuse
pale purple,3,mirrored beige
pale purple,3,faded turquoise
pale purple,4,vibrant magenta
faded coral,4,dim cyan
pale cyan,2,muted violet
dim magenta,2,shiny turquoise
dim magenta,5,dotted olive
dim magenta,2,clear lime
dim magenta,3,faded bronze
plaid orange,1,posh crimson
pale black,3,pale lime
pale black,5,dotted silver
pale black,1,faded gray
posh tomato,3,bright silver
bright olive,5,mirrored maroon
bright olive,5,dotted blue
bright olive,1,pale lime
bright olive,3,mirrored olive
dotted maroon,5,drab gold
dotted maroon,1,wavy purple
dotted maroon,1,wavy indigo
dotted maroon,5,faded cyan
pale crimson,2,faded turquoise
muted indigo,2,posh white
muted indigo,5,pale lime
muted indigo,1,wavy purple
muted indigo,1,vibrant orange
shiny maroon,1,bright teal
shiny maroon,5,dim violet
vibrant black,4,dull magenta
pale plum,2,dotted gold
pale plum,4,muted maroon
pale plum,1,muted tan
pale plum,2,vibrant gold
wavy bronze,3,muted tan
wavy bronze,3,bright silver
clear purple,4,dull bronze
striped black,5,bright gray
striped black,2,dotted crimson
striped black,1,bright olive
striped black,2,mirrored fuchsia
vibrant brown,3,dull bronze
vibrant brown,3,dim magenta
plaid magenta,5,dim brown
drab crimson,1,clear black
mirrored fuchsia,3,faded salmon
vibrant crimson,5,plaid gold
vibrant crimson,5,dull purple
vibrant crimson,3,mirrored bronze
vibrant crimson,5,clear white
bright chartreuse,4,light maroon
bright chartreuse,5,clear green
dotted tan,2,dotted purple
dotted tan,1,dark brown
pale teal,4,muted yellow
pale teal,5,shiny teal
dim indigo,5,light olive
dim indigo,3,posh plum
wavy turquoise,5,dotted crimson
wavy turquoise,1,vibrant gold
clear salmon,2,dotted indigo
clear salmon,2,clear beige
clear salmon,2,faded white
clear salmon,3,bright cyan
mirrored violet,3,pale plum
mirrored violet,1,plaid black
mirrored violet,4,drab gold
dotted black,5,light blue
mirrored magenta,2,pale brown
mirrored magenta,5,shiny turquoise
mirrored magenta,1,dotted indigo
mirrored magenta,1,light maroon
shiny beige,3,light orange
shiny beige,2,posh black
bright maroon,5,posh plum
bright maroon,5,mirrored maroon
striped fuchsia,1,faded indigo
striped fuchsia,1,posh coral
striped fuchsia,1,light aqua
striped fuchsia,5,drab blue
clear gold,1,pale tan
clear gold,4,drab brown
clear gold,4,clear red
light plum,5,striped bronze
light plum,3,light blue
plaid beige,2,pale gold
dim salmon,2,shiny plum
vibrant red,5,dull bronze
dim olive,5,dull lime
dim olive,4,mirrored tan
dim olive,2,drab aqua
dim olive,4,drab black
striped white,4,light chartreuse
faded brown,5,shiny indigo
faded brown,4,vibrant violet
faded brown,2,clear chartreuse
wavy orange,1,mirrored lime
wavy orange,2,light lime
drab turquoise,3,dark magenta
drab turquoise,5,dark plum
plaid white,3,pale gray
plaid white,3,vibrant lime
plaid white,4,dotted tomato
dull beige,5,posh salmon
dull beige,5,vibrant indigo
dull beige,4,posh red
dull beige,1,light tomato
striped cyan,3,dull gray
vibrant cyan,1,striped crimson
wavy cyan,5,dark turquoise
wavy cyan,1,plaid lime
wavy cyan,5,clear lime
wavy cyan,5,pale red
drab aqua,5,shiny cyan
drab aqua,4,pale bronze
posh violet,2,dark olive
posh violet,3,wavy aqua
plaid plum,2,dark gray
plaid plum,3,dotted bronze
plaid plum,3,faded silver
dim white,2,dim salmon
plaid red,4,dull purple
plaid red,3,dark fuchsia
plaid red,1,vibrant purple
muted coral,4,dotted silver
muted coral,1,posh brown
muted coral,5,posh chartreuse
muted coral,3,striped bronze
dark bronze,5,pale lime
bright tomato,1,plaid lime
wavy beige,5,wavy indigo
dark beige,5,pale lime
dark beige,1,wavy magenta
striped turquoise,1,dotted olive
striped olive,5,bright blue
striped olive,5,striped salmon
striped olive,3,drab coral
plaid violet,3,dull red
plaid violet,3,clear gold
plaid violet,5,shiny gray
posh magenta,1,vibrant chartreuse
posh magenta,2,dotted fuchsia
posh magenta,3,pale plum
bright brown,2,dull maroon
pale salmon,5,dull aqua
pale salmon,4,bright bronze
wavy coral,2,dull blue
wavy coral,4,vibrant violet
wavy coral,1,clear purple
wavy coral,3,shiny lime
muted magenta,3,clear violet
muted magenta,5,faded plum
light purple,1,vibrant indigo
light purple,3,drab green
mirrored green,5,drab cyan
mirrored green,2,bright plum
dull teal,1,drab aqua
dull teal,4,dull green
dull teal,4,faded gray
dull teal,1,dull bronze
plaid bronze,4,clear fuchsia
plaid bronze,5,posh gold
plaid bronze,3,dark olive
dotted turquoise,1,bright aqua
dotted turquoise,5,muted black
drab black,2,vibrant lime
drab red,2,posh crimson
faded black,1,light black
faded black,3,light silver
faded black,5,clear crimson
faded black,4,plaid brown
bright aqua,2,faded salmon
bright aqua,4,vibrant crimson
bright aqua,1,faded orange
dim silver,4,plaid bronze
dark plum,1,dark gray
dark plum,5,muted yellow
shiny teal,4,dull bronze
shiny teal,3,dim black
shiny teal,1,posh brown
faded chartreuse,3,pale red
faded chartreuse,5,drab fuchsia
faded chartreuse,4,dull green
faded chartreuse,1,faded blue
clear cyan,2,shiny olive
clear cyan,1,muted plum
wavy green,1,dull blue
plaid yellow,1,drab coral
wavy chartreuse,2,dull lime
wavy chartreuse,2,mirrored crimson
wavy chartreuse,2,shiny red
dim teal,2,shiny coral
dim teal,1,drab magenta
dim teal,5,dull fuchsia
muted bronze,3,plaid silver
muted bronze,2,vibrant purple
muted bronze,2,plaid plum
muted bronze,1,vibrant brown
plaid tan,2,drab magenta
plaid tan,4,clear fuchsia
drab salmon,1,dim fuchsia
drab salmon,3,muted olive
drab salmon,4,pale lime
drab salmon,5,bright white
wavy indigo,5,clear tomato
wavy indigo,5,mirrored silver
striped maroon,5,pale gray
striped maroon,4,drab olive
vibrant violet,3,muted gold
vibrant violet,4,posh plum
vibrant violet,2,pale tan
vibrant violet,2,clear violet
vibrant fuchsia,3,dim cyan
vibrant fuchsia,2,muted crimson
striped chartreuse,4,clear black
mirrored beige,1,bright orange
mirrored beige,1,posh salmon
mirrored beige,4,muted beige
mirrored beige,1,mirrored fuchsia
shiny cyan,3,light aqua
drab chartreuse,1,vibrant fuchsia
drab chartreuse,2,clear aqua
light maroon,3,posh tan
light maroon,4,faded lavender
bright white,4,light maroon
vibrant plum,3,dim blue
vibrant plum,2,striped coral
vibrant plum,2,bright lime
vibrant plum,2,dull tan
posh olive,5,clear tomato
posh red,1,pale tan
dark gold,1,dim black
light beige,1,mirrored chartreuse
light beige,5,bright lavender
dotted white,3,posh brown
dotted white,3,faded blue
dotted white,5,faded cyan
dotted white,2,faded fuchsia
clear tomato,1,muted beige
posh white,3,vibrant lime
shiny green,5,vibrant salmon
shiny green,2,dim brown
shiny green,2,dotted indigo
plaid maroon,2,posh brown
plaid maroon,3,vibrant violet
plaid maroon,1,drab coral
plaid maroon,5,plaid turquoise
clear yellow,4,drab aqua
faded tan,4,striped lavender
wavy red,3,shiny blue
shiny brown,3,posh gold
shiny brown,1,bright magenta
shiny brown,1,pale bronze
shiny brown,3,light brown
shiny lime,1,vibrant olive
shiny lime,4,mirrored fuchsia
bright silver,1,vibrant green
bright silver,3,light turquoise
bright silver,1,light silver
bright silver,5,dark magenta
pale brown,5,posh tan
pale brown,2,light aqua
pale brown,3,dotted teal
dotted violet,2,vibrant green
dotted violet,4,posh olive
dotted violet,2,muted tomato
dotted violet,5,wavy bronze
pale blue,1,striped chartreuse
pale blue,5,light fuchsia
vibrant tomato,1,posh red
vibrant tomato,3,muted beige
vibrant tomato,3,wavy purple
dull black,2,bright beige
bright turquoise,5,faded indigo
bright turquoise,3,dull white
bright turquoise,1,muted brown
plaid lavender,5,faded silver
plaid lavender,3,clear orange
shiny violet,5,muted turquoise
shiny violet,1,striped coral
shiny violet,1,dull crimson
striped red,2,light tomato
dotted salmon,4,dotted silver
mirrored gold,3,light yellow
mirrored gold,1,drab cyan
mirrored gold,2,drab gray
mirrored gold,5,posh orange
muted green,5,mirrored magenta
muted green,3,plaid lavender
muted green,5,pale fuchsia
muted green,1,pale maroon
muted silver,1,muted tomato
plaid green,2,striped beige
plaid green,3,vibrant indigo
muted gray,4,vibrant olive
light gray,5,bright white
light gray,2,vibrant black
dotted aqua,3,faded cyan
dotted aqua,3,vibrant purple
dull tan,5,clear purple
dull tan,3,mirrored maroon
dull tan,3,dull gold
dull tan,3,bright turquoise
posh aqua,3,plaid black
posh aqua,1,drab aqua
posh aqua,2,mirrored fuchsia
posh aqua,1,muted orange
dull cyan,1,posh tan
dull cyan,1,posh indigo
striped tan,3,light silver
striped tan,5,dull beige
striped tan,5,plaid purple
striped tan,4,muted orange
striped salmon,1,light olive
dark maroon,4,striped plum
dark maroon,2,wavy cyan
dark maroon,3,dotted teal
clear green,3,muted crimson
bright fuchsia,1,faded cyan
bright fuchsia,4,muted orange
bright fuchsia,1,posh black
bright fuchsia,5,dull bronze
shiny aqua,4,striped lavender
shiny aqua,5,faded indigo
shiny aqua,2,pale black
shiny aqua,4,vibrant green
posh coral,2,plaid olive
posh coral,2,shiny coral
posh coral,1,vibrant olive
posh coral,1,clear red
vibrant aqua,2,drab magenta
vibrant aqua,3,dotted olive
vibrant aqua,3,dim plum
vibrant aqua,2,dotted aqua
faded turquoise,2,light olive
faded turquoise,2,dotted purple
faded turquoise,3,faded violet
dark crimson,2,wavy turquoise
dark crimson,1,shiny red
dark crimson,5,muted white
dull tomato,2,wavy magenta
dull tomato,4,pale brown
dull tomato,2,dark bronze
dull tomato,1,drab brown
dark coral,5,dotted black
dark coral,4,vibrant purple
dark coral,2,dark bronze
dark coral,1,vibrant gold
faded beige,1,plaid brown
faded beige,3,light silver
faded beige,5,faded tan
faded beige,3,mirrored maroon
striped crimson,5,shiny cyan
striped crimson,3,plaid indigo
plaid aqua,2,mirrored lime
plaid aqua,1,posh salmon
muted white,2,pale red
muted white,4,dotted plum
muted white,1,posh salmon
light orange,1,shiny indigo
light orange,2,pale lime
light orange,5,pale gold
light orange,3,clear black
dull purple,4,wavy turquoise
dull purple,2,striped coral
dull purple,1,vibrant violet
dull lavender,4,dark bronze
clear maroon,2,clear indigo
striped tomato,3,muted bronze
striped tomato,5,faded tomato
striped tomato,4,plaid brown
striped gold,4,shiny indigo
light yellow,5,pale beige
wavy plum,4,clear maroon
wavy plum,1,bright brown
wavy plum,1,dim purple
vibrant coral,5,striped orange
vibrant coral,4,muted orange
vibrant coral,1,striped blue
light brown,2,wavy maroon
light brown,1,bright beige
dull fuchsia,5,pale black
dull fuchsia,1,dotted salmon
dull fuchsia,5,pale bronze
dull fuchsia,2,faded silver
dim brown,1,posh brown
dim brown,2,shiny cyan
dim brown,5,shiny indigo
dim brown,1,striped lavender
dim lime,5,dim black
muted salmon,1,bright cyan
muted salmon,1,muted gray
muted salmon,1,plaid silver
muted salmon,3,dotted olive
light red,5,dark cyan
light red,3,dim red
light red,1,pale olive
light red,5,mirrored crimson
striped blue,1,mirrored tan
striped blue,5,vibrant crimson
striped blue,2,muted turquoise
mirrored lime,1,mirrored magenta
mirrored lime,1,clear purple
pale coral,1,shiny lime
pale coral,4,clear bronze
posh plum,5,faded gray
dull green,5,mirrored salmon
dull green,4,pale green
dull green,1,bright purple
dull green,5,dark turquoise
pale tomato,5,shiny white
dark black,1,faded gold
dark black,1,faded aqua
dark black,5,drab brown
dark black,2,muted tomato
wavy silver,3,posh brown
wavy silver,3,wavy blue
wavy silver,4,bright white
dotted olive,1,dotted plum
dotted olive,5,dark orange
faded gold,5,vibrant gray
faded gold,1,pale maroon
faded gold,2,dotted coral
faded gold,4,bright beige
muted brown,4,dim black
plaid coral,5,plaid teal
bright red,2,posh gray
bright red,1,dotted bronze
bright red,4,wavy tomato
bright red,2,dotted coral
shiny gold,4,posh coral
shiny gold,2,clear violet
dark gray,1,vibrant maroon
dark gray,4,dotted purple
dark gray,4,mirrored fuchsia
muted teal,5,muted violet
muted teal,3,striped aqua
mirrored gray,3,vibrant lime
mirrored gray,4,dull bronze
mirrored gray,3,clear indigo
mirrored gray,2,drab aqua
wavy crimson,4,pale gold
wavy crimson,4,dotted crimson
wavy crimson,4,drab black
shiny magenta,5,plaid white
shiny magenta,4,dull tan
shiny magenta,1,clear white
dull coral,5,light gold
dull coral,4,dotted green
shiny salmon,3,pale indigo
shiny salmon,4,pale gray
dotted coral,5,clear red
dotted coral,1,vibrant green
dotted coral,1,dotted crimson
posh salmon,3,striped lavender
pale white,2,vibrant red
pale white,2,dim turquoise
pale white,1,drab white
pale white,4,light plum
clear crimson,3,dotted silver
clear crimson,1,drab red
clear crimson,1,shiny coral
clear crimson,1,mirrored teal
clear orange,1,striped lavender
clear orange,5,drab blue
clear orange,5,dim fuchsia
muted plum,1,bright olive
dark aqua,4,mirrored salmon
dark aqua,2,dull fuchsia
pale chartreuse,2,dark silver
pale chartreuse,3,drab maroon
pale chartreuse,1,dull cyan
faded white,4,faded indigo
faded white,4,faded silver
faded white,1,muted teal
striped yellow,1,wavy green
striped yellow,3,plaid tan
striped yellow,2,clear lime
plaid fuchsia,4,clear beige
plaid fuchsia,2,drab black
plaid fuchsia,5,muted brown
plaid fuchsia,2,striped red
vibrant magenta,5,bright fuchsia
vibrant magenta,4,bright plum
vibrant magenta,5,dotted blue
vibrant magenta,3,striped fuchsia
dotted fuchsia,1,muted blue
dotted fuchsia,2,drab plum
plaid indigo,2,clear black
plaid indigo,2,shiny coral
plaid indigo,5,dim cyan
plaid indigo,2,dotted blue
mirrored teal,1,dull gold
drab lavender,2,plaid purple
dull gold,2,drab brown
dull gold,5,clear black
dull gold,5,wavy blue
dull gold,1,pale black
mirrored silver,2,dim black
mirrored silver,2,shiny gray
mirrored silver,1,plaid magenta
mirrored salmon,1,shiny indigo
mirrored red,1,plaid gray
mirrored bronze,4,plaid lime
mirrored bronze,1,clear fuchsia
mirrored bronze,5,clear red
striped bronze,3,dim fuchsia
striped bronze,2,faded bronze
striped bronze,4,drab coral
striped bronze,2,pale indigo
dim red,5,vibrant indigo
dim red,4,shiny gold
dim red,5,shiny aqua
dim red,3,bright teal
striped plum,4,light aqua
striped plum,1,dull beige
faded red,1,bright lime
faded red,3,pale green
clear blue,1,posh aqua
clear blue,2,dark green
clear blue,5,posh maroon
mirrored lavender,1,shiny gray
mirrored lavender,5,dotted lime
mirrored lavender,3,faded tomato
dark lime,2,pale black
dark lime,5,mirrored bronze
dark lime,4,posh olive
dark lime,3,dull red
muted beige,2,faded plum
light lavender,3,posh red
dotted magenta,5,drab salmon
dotted magenta,3,muted orange
dotted magenta,4,muted fuchsia
dim blue,5,striped plum
dim blue,1,dim brown
dim blue,3,drab blue
plaid teal,3,drab salmon
plaid teal,4,muted tan
plaid teal,2,drab blue
drab yellow,1,faded white
faded aqua,4,dull olive
dull brown,5,muted orange
dull brown,1,bright orange
dull brown,3,dim teal
dull brown,1,dotted salmon
light teal,3,muted chartreuse
light teal,5,clear lime
drab fuchsia,4,dim magenta
drab fuchsia,3,faded cyan
drab fuchsia,3,faded bronze
pale lime,1,vibrant orange
pale lime,5,dull bronze
muted yellow,1,clear beige
muted yellow,2,posh chartreuse
muted yellow,5,vibrant lavender
posh green,2,vibrant red
posh green,5,dark olive
dim crimson,2,drab chartreuse
dim crimson,5,faded aqua
wavy fuchsia,5,mirrored coral
faded plum,4,dark red
faded plum,3,posh red
faded plum,1,faded indigo
drab plum,4,pale silver
drab plum,5,drab fuchsia
drab plum,3,dark olive
drab plum,5,wavy maroon
dark yellow,3,dark white
dark yellow,3,dotted plum
drab magenta,1,posh salmon
drab magenta,2,mirrored maroon
faded yellow,4,drab brown
mirrored chartreuse,2,faded salmon
mirrored chartreuse,5,striped lavender
posh crimson,3,plaid violet
posh crimson,5,dotted coral
posh crimson,4,pale teal
faded purple,1,clear orange
faded purple,4,dotted lime
faded purple,4,muted maroon
clear olive,1,plaid teal
muted fuchsia,4,plaid indigo
muted fuchsia,2,shiny gold
dotted bronze,4,striped lavender
dotted bronze,3,mirrored fuchsia
dotted bronze,2,plaid teal
muted chartreuse,2,bright white
muted chartreuse,5,faded fuchsia
muted chartreuse,3,dim lime
muted chartreuse,1,plaid gold
muted purple,4,light plum
muted purple,5,pale indigo
muted purple,5,mirrored aqua
light blue,4,posh blue
dark tomato,2,posh gold
plaid gray,4,light tomato
plaid gray,4,striped chartreuse
plaid gray,1,muted magenta
plaid gray,3,striped violet
dull crimson,2,light turquoise
dull crimson,4,shiny cyan
dull crimson,4,posh tan
dull crimson,3,mirrored maroon
bright yellow,1,muted magenta
bright yellow,4,muted red
bright yellow,5,drab magenta
drab teal,1,faded salmon
drab teal,1,dotted crimson
drab teal,5,dark white
mirrored maroon,2,muted violet
mirrored maroon,1,faded silver
mirrored plum,1,bright chartreuse
mirrored plum,4,mirrored purple
mirrored plum,1,dim turquoise
mirrored plum,4,shiny gold
plaid black,2,dotted red
plaid black,2,bright orange
drab beige,1,plaid gray
drab beige,2,shiny coral
drab beige,5,dull white
vibrant tan,5,dotted salmon
dim yellow,1,shiny bronze
dim yellow,4,faded plum
dim yellow,4,light blue
bright lime,2,dull plum
bright lime,1,posh salmon
bright lime,5,dark gray
dull violet,2,plaid salmon
dull violet,5,dark salmon
posh tan,1,mirrored aqua
dull indigo,3,striped yellow
dull indigo,1,dotted black
dull indigo,2,mirrored coral
mirrored cyan,1,wavy purple
mirrored cyan,3,drab chartreuse
muted blue,3,dim olive
muted blue,5,dim tan
faded green,1,posh indigo
faded green,2,faded magenta
faded green,5,pale gold
faded green,1,wavy purple
dark teal,1,dark turquoise
dark teal,5,dotted lime
dark teal,1,dim black
dark teal,5,vibrant orange
light black,1,wavy magenta
light black,5,mirrored bronze
light black,3,dotted purple
light black,1,pale yellow
wavy lavender,4,muted magenta
wavy lavender,4,mirrored lime
bright violet,1,striped violet
dull maroon,1,shiny coral
dull maroon,2,dull blue
clear turquoise,1,bright plum
clear turquoise,4,wavy olive
dotted lime,1,dim black
striped magenta,1,wavy magenta
striped magenta,3,pale red
striped magenta,1,clear white
dim cyan,3,dotted silver
dim cyan,4,posh black
dim cyan,2,shiny coral
bright orange,1,muted white
bright orange,2,posh brown
bright orange,5,dull green
bright salmon,3,bright purple
bright salmon,4,dim lime
bright salmon,3,vibrant lavender
dim tomato,5,striped green
dim tomato,3,drab blue
dim tomato,5,dull salmon
striped orange,3,faded lime
bright tan,4,dull turquoise
bright tan,5,striped gray
plaid gold,2,dotted plum
plaid gold,5,shiny teal
plaid tomato,4,vibrant beige
plaid tomato,3,dark red
plaid tomato,5,dark fuchsia
clear tan,4,bright aqua
clear tan,3,wavy tomato
light crimson,3,plaid black
dotted crimson,5,drab aqua
dotted crimson,4,dim brown
dotted crimson,5,dull fuchsia
dotted crimson,1,muted violet
wavy maroon,5,pale tan
shiny chartreuse,5,dark aqua
shiny chartreuse,5,shiny gray
shiny chartreuse,4,striped orange
posh indigo,2,striped violet
posh indigo,1,clear tomato
posh indigo,1,vibrant gray
posh indigo,5,striped chartreuse
faded salmon,2,shiny indigo
faded salmon,5,pale orange
dull blue,1,posh coral
dull blue,3,dark gold
dull blue,1,bright gray
dark red,2,dotted silver
clear teal,3,plaid black
clear teal,1,light tan
clear teal,2,dark silver
clear teal,2,dotted beige
dotted green,5,bright beige
dotted green,4,posh coral
dotted green,2,clear aqua
dotted green,5,faded lavender
wavy brown,1,faded gray
wavy brown,3,muted violet
wavy brown,4,light silver
clear lime,3,light tomato
clear lime,5,striped gold
clear lime,3,bright gray
dotted purple,2,faded gray
dotted purple,5,vibrant olive
dotted purple,4,dark gold
dotted teal,4,vibrant indigo
dotted teal,2,mirrored maroon
shiny red,2,clear tomato
shiny red,4,muted crimson
shiny red,2,plaid gray
shiny red,1,bright gold
pale indigo,1,posh chartreuse
drab maroon,4,drab silver
drab maroon,4,dull gold
drab maroon,1,shiny aqua
pale bronze,2,light aqua
dark olive,5,drab magenta
dark olive,4,muted beige
shiny tomato,3,dull turquoise
shiny tomato,1,dotted lavender
shiny tomato,2,posh silver
shiny tomato,2,dark blue
dull magenta,2,faded lime
dull magenta,1,vibrant bronze
dull magenta,3,shiny teal
plaid silver,2,dim lime
plaid silver,4,drab teal
plaid silver,5,shiny coral
mirrored indigo,3,drab beige
posh purple,3,clear fuchsia
dim aqua,1,mirrored coral
wavy magenta,1,clear gold
light aqua,5,mirrored maroon
light aqua,2,dotted plum
light aqua,3,clear red
dark chartreuse,2,posh salmon
dark chartreuse,5,dull bronze
drab white,5,faded lime
drab white,1,shiny green
drab white,2,muted teal
drab white,1,striped beige
mirrored yellow,4,dull white
drab blue,5,muted indigo
drab blue,1,dim black
drab blue,4,dotted teal
drab blue,1,pale gray
faded lime,1,drab aqua
faded lime,5,dull bronze
faded lime,4,dull green
vibrant blue,1,faded tomato
vibrant blue,1,bright olive
vibrant blue,3,dotted silver
vibrant blue,1,striped lavender
dotted yellow,3,light olive
dotted yellow,4,vibrant salmon
clear coral,4,faded lavender
posh brown,3,mirrored maroon
dim chartreuse,4,posh coral
bright plum,5,dotted tan
bright plum,3,light olive
pale beige,3,posh yellow
dim turquoise,3,faded chartreuse
vibrant turquoise,2,plaid turquoise
vibrant turquoise,2,faded violet
wavy blue,2,dark turquoise
wavy blue,1,striped coral
wavy blue,3,vibrant lime
wavy blue,1,mirrored aqua
striped lime,2,drab silver
light olive,3,clear tomato
dotted red,4,drab orange
dotted red,1,vibrant olive
dotted red,5,mirrored coral
dotted red,1,muted fuchsia
mirrored olive,5,light turquoise
bright teal,3,mirrored fuchsia
bright teal,1,light turquoise
bright teal,4,striped chartreuse
